year,month,rain,press,RH,temp,wind
2022,12,0.004400806,1016.06132,87.72983519,27.88086278,23.08517367
2023,1,0.670687728,1016.966829,87.36189406,28.58190443,16.32741458
2023,2,0.166442575,1015.11691,86.35904868,32.74550531,20.24146962
2023,3,0.165756632,1013.643799,85.04249719,35.15202293,21.49932188
2023,4,2.48412071,1009.58376,83.07738611,38.24307932,25.93809535
2023,5,3.825960793,1008.573114,89.39815908,36.43840628,26.02624547
2023,6,8.798156166,1006.400625,93.61795355,34.19941293,25.17470997
2023,7,12.50706823,1006.968708,93.79982764,33.66644549,25.11696628
2023,8,5.850355569,1008.8861,94.04080335,32.6693311,25.40840745
2023,9,13.26369158,1009.782002,97.33147787,31.4814671,24.71815471
2023,10,4.211230549,1013.42772,93.15055639,32.72040264,24.37647826
2012,1,1.660729081,1010.410635,88.36056093,27.89874486,23.06929672
2012,2,0.220037443,1012.456993,88.0800802,29.73087715,24.08047888
2012,3,0.860752545,1012.00382,85.75983992,30.97621621,25.17490999
2012,4,3.437134738,1010.443891,89.02824991,31.77028799,25.72525807
2012,5,8.567239245,1006.903303,92.4594233,31.48566198,26.06166211
2012,6,3.523182482,1005.782162,89.5686225,31.08030659,26.51786943
2012,7,4.582692651,1006.245886,91.09825097,30.68474293,25.87595157
2012,8,8.024896789,1006.913383,91.64930406,30.12767927,26.17149779
2012,9,6.428105354,1009.531574,94.71847773,30.0039929,26.51451016
2012,10,1.827079607,1012.491263,92.04185139,30.27648364,25.58827565
2012,11,0.718646584,1012.566975,91.17469244,30.50760956,25.38546986
2012,12,0.127880516,1013.907343,88.59859878,29.73116536,24.047058
2013,1,0.251809317,1016.116218,88.18945094,28.09707924,22.41493302
2013,2,0.03572519,1013.750408,82.93336168,30.88441284,24.64000484
2013,3,0.927983178,1012.016851,81.64293089,32.78066072,26.1964295
2013,4,1.309316075,1009.705845,82.36753359,33.38980286,27.26705654
2013,5,4.853478702,1008.670931,90.09999246,32.52647377,27.12262212
2013,6,4.613335816,1006.491565,90.82931138,31.2802412,26.93603609
2013,7,9.512344654,1006.526342,93.51004604,30.61240166,28.41550607
2013,8,5.901485095,1007.078751,93.63643505,30.36468897,27.96750278
2013,9,9.804961073,1008.763999,96.52046056,29.75214844,27.68212277
2013,10,1.99948199,1012.942391,92.84355128,29.69333936,28.89406966
2013,11,0.167839234,1013.984215,89.94568323,29.73448642,26.6030952
2013,12,0.729880422,1017.069553,90.26629006,25.69014061,23.42716934
2014,1,0.012888796,1018.565192,89.23558849,26.52743307,21.41079663
2014,2,0.292440111,1013.736856,86.49760743,29.63909286,25.49386009
2014,3,0.88007312,1012.889897,84.91732504,32.58427268,30.8930404
2014,4,3.47804594,1011.018196,88.67928763,32.92694384,29.32874799
2014,5,3.631486054,1009.421963,89.45868505,32.87530228,31.21537402
2014,6,6.255160688,1006.189625,91.50360318,31.8886654,29.69522133
2014,7,7.821249795,1006.784579,93.18689239,30.58416169,30.56830576
2014,8,8.149317053,1008.744157,93.85378555,30.51800248,30.58863254
2014,9,8.242214062,1009.618773,95.87303716,30.36792745,30.15545741
2014,10,1.87701036,1013.349637,93.25161376,30.38338015,29.79828692
2014,11,0.54093123,1014.122606,92.61361533,30.18832403,29.11460232
2014,12,0.024631678,1017.199801,86.51430707,27.87991183,26.35160778
2015,1,0.105277003,1017.627434,85.66892738,27.36944302,24.3134687
2015,2,1.412903318,1015.853277,88.5696431,29.51371463,27.62114703
2015,3,0.847709883,1013.745527,86.34190875,31.89054469,30.80439962
2015,4,2.213023222,1011.917524,81.37404782,33.09075661,30.85315355
2015,5,2.374946393,1008.853047,86.72418087,33.62602672,31.95882025
2015,6,4.441762356,1007.950109,89.34549725,32.56512635,31.68807253
2015,7,7.449738197,1007.499482,91.22212052,30.85445709,31.29181851
2015,8,6.936758928,1008.283294,94.26372163,30.69781653,30.28287886
2015,9,5.439153914,1010.064195,95.52455833,30.40001122,30.21639698
2015,10,3.746524491,1013.87877,94.29299422,29.79962042,29.5533349
2015,11,0.911609011,1014.207847,92.5339968,30.54458133,29.39231606
2015,12,0.055100432,1016.731245,88.89729316,29.32007629,27.98846822
2016,1,0.90097749,1016.467531,90.91534933,28.61613546,22.97579162
2016,2,0.060119222,1018.656072,83.52892666,28.48898006,25.48117537
2016,3,0.689922876,1013.55096,77.9957496,32.83283645,29.68174853
2016,4,3.400977431,1009.553221,76.68296471,35.09844959,32.04980179
2016,5,5.06365621,1009.003476,89.91321141,33.21754526,31.56145644
2016,6,8.046744189,1008.526326,91.992885,31.74611017,29.27109377
2016,7,7.752320626,1008.153214,94.85198776,30.72557582,28.48338187
2016,8,7.561300164,1006.055596,93.36585297,30.80207697,28.63821519
2016,9,10.32137684,1008.608046,96.04036253,29.89555381,27.93050799
2016,10,3.618917969,1010.139064,95.18392195,30.30124012,28.45499359
